Train loss,Train acc,Validation loss,Validation acc
16.298099517822266,0.550000011920929,11.269561767578125,0.48500001430511475
5.2034196853637695,0.5212500095367432,0.6788469552993774,0.48500001430511475
1.3439558744430542,0.48374998569488525,1.0794706344604492,0.47999998927116394
0.2588438391685486,0.5237500071525574,0.1596592515707016,0.45500001311302185
0.18879251182079315,0.5,0.19729696214199066,0.4925000071525574
0.2074824720621109,0.581250011920929,0.1986789107322693,0.5849999785423279
0.12731733918190002,0.5625,0.15610261261463165,0.5600000023841858
0.12119384109973907,0.5862500071525574,0.08321475982666016,0.6449999809265137
0.1417267918586731,0.5874999761581421,0.10822658240795135,0.5600000023841858
0.21667975187301636,0.574999988079071,0.15590600669384003,0.5475000143051147
0.10300809144973755,0.6100000143051147,0.08458705246448517,0.625
0.12466921657323837,0.5975000262260437,0.13765230774879456,0.5600000023841858
0.12398146837949753,0.5950000286102295,0.09444379061460495,0.6025000214576721
0.09809578210115433,0.5912500023841858,0.09157930314540863,0.625
0.16627885401248932,0.5824999809265137,0.12147358059883118,0.5899999737739563
0.1075177788734436,0.6025000214576721,0.0911654382944107,0.5699999928474426
0.08811099827289581,0.5987499952316284,0.15667003393173218,0.6225000023841858
0.07611623406410217,0.6625000238418579,0.08338114619255066,0.6100000143051147
0.07491609454154968,0.6837499737739563,0.07655627280473709,0.6474999785423279
0.07760673761367798,0.6837499737739563,0.06593891233205795,0.6850000023841858
0.06803882867097855,0.7137500047683716,0.0685950443148613,0.6974999904632568
0.06621615588665009,0.7200000286102295,0.062467917799949646,0.7350000143051147
0.06081346422433853,0.7487499713897705,0.061990294605493546,0.7300000190734863
0.06496480852365494,0.71875,0.06637632846832275,0.7149999737739563
0.059853557497262955,0.7437499761581421,0.0628289207816124,0.75
0.059931691735982895,0.7362499833106995,0.07591509073972702,0.6850000023841858
0.06241786479949951,0.7225000262260437,0.059801243245601654,0.7174999713897705
0.09491018205881119,0.6899999976158142,0.05509514361619949,0.7425000071525574
0.05833423510193825,0.7462499737739563,0.0530393086373806,0.7674999833106995
0.059468939900398254,0.7362499833106995,0.06495019793510437,0.7174999713897705
0.05279191583395004,0.7674999833106995,0.05159788578748703,0.7749999761581421
0.055174943059682846,0.7637500166893005,0.06164548546075821,0.7400000095367432
0.0510917603969574,0.7912499904632568,0.05606389045715332,0.7674999833106995
0.08811089396476746,0.7174999713897705,0.07025926560163498,0.6775000095367432
0.05613206326961517,0.7587500214576721,0.0584549717605114,0.7425000071525574
0.055393002927303314,0.7612500190734863,0.056497737765312195,0.7674999833106995
0.05365385115146637,0.7662500143051147,0.051754504442214966,0.7749999761581421
0.04987358674407005,0.7950000166893005,0.04764974117279053,0.7950000166893005
0.05170605331659317,0.793749988079071,0.07191594690084457,0.762499988079071
0.053936153650283813,0.793749988079071,0.04443620517849922,0.8100000023841858
0.050337523221969604,0.8162500262260437,0.04287116974592209,0.8125
0.04973040893673897,0.7987499833106995,0.05107968673110008,0.7774999737739563
0.0479775033891201,0.8174999952316284,0.05119694769382477,0.7975000143051147
0.04823262616991997,0.8075000047683716,0.05219404771924019,0.7950000166893005
0.05309243127703667,0.7737500071525574,0.04970682039856911,0.7975000143051147
0.05164662003517151,0.7862499952316284,0.05762360617518425,0.7574999928474426
0.044521089643239975,0.8224999904632568,0.05511883646249771,0.7674999833106995
0.048281196504831314,0.8012499809265137,0.04359307140111923,0.8450000286102295
0.04738127812743187,0.8025000095367432,0.04508671909570694,0.8199999928474426
0.047143954783678055,0.8050000071525574,0.04506627097725868,0.8299999833106995
0.045649733394384384,0.8199999928474426,0.04048548638820648,0.8500000238418579
0.04262888431549072,0.8287500143051147,0.0511128231883049,0.800000011920929
0.04165855050086975,0.8349999785423279,0.03946088254451752,0.862500011920929
0.040865227580070496,0.8374999761581421,0.037830572575330734,0.8525000214576721
0.03610360249876976,0.8662499785423279,0.04039611667394638,0.8399999737739563
